timecode,seconds,lat,lat_dir,lon,lon_dir,sensor,trigger_num,trigger_time_small,matched_time_large,match_time_diff,relative_row,relative_time
260330_201639_800,72999.797,4159.9844,N,8739.4424,W,216,0,73000,73000.0,0.0,-2,-0.20299999999406282
260330_201639_900,72999.898,4159.9844,N,8739.4424,W,214,0,73000,73000.0,0.0,-1,-0.10199999999895226
260330_201640_000,73000.0,4159.9844,N,8739.4424,W,213,0,73000,73000.0,0.0,0,0.0
260330_201640_100,73000.102,4159.9844,N,8739.4424,W,213,0,73000,73000.0,0.0,1,0.10199999999895226
260330_201640_200,73000.203,4159.9844,N,8739.4424,W,213,0,73000,73000.0,0.0,2,0.20299999999406282
260330_201640_300,73000.297,4159.9844,N,8739.4424,W,214,0,73000,73000.0,0.0,3,0.2970000000059372
260330_201640_400,73000.398,4159.9844,N,8739.4424,W,215,0,73000,73000.0,0.0,4,0.39800000000104774
260330_201640_500,73000.5,4159.9844,N,8739.4424,W,215,0,73000,73000.0,0.0,5,0.5
260330_201640_600,73000.602,4159.9844,N,8739.4424,W,216,0,73000,73000.0,0.0,6,0.6019999999989523
260330_201640_700,73000.703,4159.9844,N,8739.4424,W,215,0,73000,73000.0,0.0,7,0.7029999999940628
260330_201640_800,73000.797,4159.9844,N,8739.4424,W,215,0,73000,73000.0,0.0,8,0.7970000000059372
260330_201640_900,73000.898,4159.9844,N,8739.4424,W,216,0,73000,73000.0,0.0,9,0.8980000000010477
260330_201641_000,73001.0,4159.9844,N,8739.4424,W,218,0,73000,73000.0,0.0,10,1.0
260330_201641_100,73001.102,4159.9844,N,8739.4424,W,220,0,73000,73000.0,0.0,11,1.1019999999989523
260330_201641_200,73001.203,4159.9844,N,8739.4424,W,221,0,73000,73000.0,0.0,12,1.2029999999940628
260330_201641_300,73001.297,4159.9844,N,8739.4424,W,221,0,73000,73000.0,0.0,13,1.2970000000059372
260330_201641_400,73001.398,4159.9844,N,8739.4424,W,220,0,73000,73000.0,0.0,14,1.3980000000010477
260330_201641_500,73001.5,4159.9844,N,8739.4424,W,220,0,73000,73000.0,0.0,15,1.5
260330_201641_600,73001.602,4159.9844,N,8739.4424,W,220,0,73000,73000.0,0.0,16,1.6019999999989523
260330_201641_700,73001.703,4159.9844,N,8739.4424,W,220,0,73000,73000.0,0.0,17,1.7029999999940628
260330_201641_800,73001.797,4159.9844,N,8739.4424,W,219,0,73000,73000.0,0.0,18,1.7970000000059372
260330_201641_900,73001.898,4159.9844,N,8739.4424,W,219,0,73000,73000.0,0.0,19,1.8980000000010477
260330_201642_000,73002.0,4159.9844,N,8739.4424,W,219,0,73000,73000.0,0.0,20,2.0
260330_201642_000,73002.0,4159.9844,N,8739.4424,W,219,0,73000,73000.0,0.0,21,2.0
260330_201642_100,73002.102,4159.9844,N,8739.4424,W,219,0,73000,73000.0,0.0,22,2.1019999999989523
260330_201642_200,73002.203,4159.9844,N,8739.4424,W,219,0,73000,73000.0,0.0,23,2.202999999994063
260330_201642_300,73002.297,4159.9844,N,8739.4424,W,218,0,73000,73000.0,0.0,24,2.297000000005937
260330_201642_400,73002.398,4159.9844,N,8739.4424,W,218,0,73000,73000.0,0.0,25,2.3980000000010477
260330_201642_500,73002.5,4159.9844,N,8739.4424,W,218,0,73000,73000.0,0.0,26,2.5
260330_201642_600,73002.602,4159.9844,N,8739.4424,W,218,0,73000,73000.0,0.0,27,2.6019999999989523
260330_201642_700,73002.703,4159.9844,N,8739.4424,W,218,0,73000,73000.0,0.0,28,2.702999999994063
260330_201642_800,73002.797,4159.9844,N,8739.4424,W,218,0,73000,73000.0,0.0,29,2.797000000005937
260330_201643_000,73003.0,4159.9844,N,8739.4414,W,218,0,73000,73000.0,0.0,30,3.0
260330_201643_100,73003.102,4159.9844,N,8739.4414,W,218,0,73000,73000.0,0.0,31,3.1019999999989523
260330_201643_200,73003.203,4159.9844,N,8739.4414,W,218,0,73000,73000.0,0.0,32,3.202999999994063
260330_201643_300,73003.297,4159.9844,N,8739.4414,W,218,0,73000,73000.0,0.0,33,3.297000000005937
260330_201643_400,73003.398,4159.9844,N,8739.4414,W,218,0,73000,73000.0,0.0,34,3.3980000000010477
260330_201643_500,73003.5,4159.9844,N,8739.4414,W,218,0,73000,73000.0,0.0,35,3.5
260330_201643_600,73003.602,4159.9844,N,8739.4414,W,218,0,73000,73000.0,0.0,36,3.6019999999989523
260330_201643_700,73003.703,4159.9844,N,8739.4414,W,218,0,73000,73000.0,0.0,37,3.702999999994063
260330_201643_800,73003.797,4159.9844,N,8739.4414,W,218,0,73000,73000.0,0.0,38,3.797000000005937
260330_201643_900,73003.898,4159.9844,N,8739.4414,W,218,0,73000,73000.0,0.0,39,3.8980000000010477
260330_201644_000,73004.0,4159.9844,N,8739.4414,W,218,0,73000,73000.0,0.0,40,4.0
260330_201644_100,73004.102,4159.9844,N,8739.4414,W,218,0,73000,73000.0,0.0,41,4.101999999998952
260330_201644_200,73004.203,4159.9844,N,8739.4414,W,218,0,73000,73000.0,0.0,42,4.202999999994063
260330_201644_300,73004.297,4159.9844,N,8739.4414,W,218,0,73000,73000.0,0.0,43,4.297000000005937
260330_201644_400,73004.398,4159.9844,N,8739.4414,W,217,0,73000,73000.0,0.0,44,4.398000000001048
260330_201644_500,73004.5,4159.9844,N,8739.4414,W,217,0,73000,73000.0,0.0,45,4.5
260330_201644_600,73004.602,4159.9844,N,8739.4414,W,217,0,73000,73000.0,0.0,46,4.601999999998952
260330_201644_700,73004.703,4159.9844,N,8739.4414,W,217,0,73000,73000.0,0.0,47,4.702999999994063
260330_201644_800,73004.797,4159.9844,N,8739.4414,W,217,0,73000,73000.0,0.0,48,4.797000000005937
260330_201644_900,73004.898,4159.9844,N,8739.4414,W,217,0,73000,73000.0,0.0,49,4.898000000001048
260330_201645_000,73005.0,4159.9844,N,8739.4414,W,217,0,73000,73000.0,0.0,50,5.0
260330_201655_000,73015.0,4159.9844,N,8739.4414,W,220,1,73020,73020.0,0.0,-50,-5.0
260330_201655_100,73015.102,4159.9844,N,8739.4414,W,220,1,73020,73020.0,0.0,-49,-4.898000000001048
260330_201655_200,73015.203,4159.9844,N,8739.4414,W,219,1,73020,73020.0,0.0,-48,-4.797000000005937
260330_201655_300,73015.297,4159.9844,N,8739.4414,W,218,1,73020,73020.0,0.0,-47,-4.702999999994063
260330_201655_400,73015.398,4159.9844,N,8739.4414,W,217,1,73020,73020.0,0.0,-46,-4.601999999998952
260330_201655_500,73015.5,4159.9844,N,8739.4414,W,216,1,73020,73020.0,0.0,-45,-4.5
260330_201655_600,73015.602,4159.9844,N,8739.4414,W,214,1,73020,73020.0,0.0,-44,-4.398000000001048
260330_201655_700,73015.703,4159.9844,N,8739.4414,W,212,1,73020,73020.0,0.0,-43,-4.297000000005937
260330_201655_800,73015.797,4159.9844,N,8739.4414,W,210,1,73020,73020.0,0.0,-42,-4.202999999994063
260330_201655_900,73015.898,4159.9844,N,8739.4414,W,209,1,73020,73020.0,0.0,-41,-4.101999999998952
260330_201656_000,73016.0,4159.9844,N,8739.4414,W,209,1,73020,73020.0,0.0,-40,-4.0
260330_201656_100,73016.102,4159.9844,N,8739.4414,W,211,1,73020,73020.0,0.0,-39,-3.8980000000010477
260330_201656_200,73016.203,4159.9844,N,8739.4414,W,214,1,73020,73020.0,0.0,-38,-3.797000000005937
