timecode,seconds,lat,lat_dir,lon,lon_dir,sensor
260409_191317_000,69197.000,4159.9849,N,8739.4238,W,52
260409_191317_430,69197.430,4159.9849,N,8739.4238,W,36
260409_191317_529,69197.531,4159.9849,N,8739.4238,W,39
260409_191317_629,69197.633,4159.9849,N,8739.4238,W,39
260409_191317_729,69197.727,4159.9849,N,8739.4238,W,40
260409_191317_829,69197.828,4159.9849,N,8739.4238,W,39
260409_191317_929,69197.930,4159.9849,N,8739.4238,W,39
260409_191318_000,69198.000,4159.9844,N,8739.4248,W,39
260409_191318_100,69198.102,4159.9844,N,8739.4248,W,40
260409_191318_200,69198.203,4159.9844,N,8739.4248,W,39
260409_191318_300,69198.297,4159.9844,N,8739.4248,W,39
260409_191318_400,69198.398,4159.9844,N,8739.4248,W,39
260409_191318_500,69198.500,4159.9844,N,8739.4248,W,39
260409_191318_600,69198.602,4159.9844,N,8739.4248,W,39
260409_191318_700,69198.703,4159.9844,N,8739.4248,W,39
260409_191318_800,69198.797,4159.9844,N,8739.4248,W,39
260409_191318_900,69198.898,4159.9844,N,8739.4248,W,39
260409_191319_000,69199.000,4159.9844,N,8739.4258,W,40
260409_191319_100,69199.102,4159.9844,N,8739.4258,W,39
260409_191319_200,69199.203,4159.9844,N,8739.4258,W,39
260409_191319_300,69199.297,4159.9844,N,8739.4258,W,39
260409_191319_400,69199.398,4159.9844,N,8739.4258,W,40
260409_191319_500,69199.500,4159.9844,N,8739.4258,W,36
260409_191319_600,69199.602,4159.9844,N,8739.4258,W,36
260409_191319_700,69199.703,4159.9844,N,8739.4258,W,34
260409_191319_800,69199.797,4159.9844,N,8739.4258,W,34
260409_191319_900,69199.898,4159.9844,N,8739.4258,W,35
260409_191320_000,69200.000,4159.9844,N,8739.4258,W,35
260409_191320_000,69200.000,4159.9844,N,8739.4258,W,36
260409_191320_100,69200.102,4159.9844,N,8739.4258,W,36
260409_191320_200,69200.203,4159.9844,N,8739.4258,W,35
260409_191320_300,69200.297,4159.9844,N,8739.4258,W,34
260409_191320_400,69200.398,4159.9844,N,8739.4258,W,35
260409_191320_500,69200.500,4159.9844,N,8739.4258,W,36
260409_191320_600,69200.602,4159.9844,N,8739.4258,W,37
260409_191320_700,69200.703,4159.9844,N,8739.4258,W,37
260409_191320_800,69200.797,4159.9844,N,8739.4258,W,37
260409_191320_900,69200.898,4159.9844,N,8739.4258,W,38
260409_191321_000,69201.000,4159.9844,N,8739.4277,W,38
260409_191321_100,69201.102,4159.9844,N,8739.4277,W,38
260409_191321_200,69201.203,4159.9844,N,8739.4277,W,38
260409_191321_300,69201.297,4159.9844,N,8739.4277,W,38
260409_191321_400,69201.398,4159.9844,N,8739.4277,W,36
260409_191321_500,69201.500,4159.9844,N,8739.4277,W,35
260409_191321_600,69201.602,4159.9844,N,8739.4277,W,38
260409_191321_700,69201.703,4159.9844,N,8739.4277,W,36
260409_191321_800,69201.797,4159.9844,N,8739.4277,W,35
260409_191321_900,69201.898,4159.9844,N,8739.4277,W,32
260409_191322_000,69202.000,4159.9839,N,8739.4287,W,30
260409_191322_100,69202.102,4159.9839,N,8739.4287,W,35
260409_191322_200,69202.203,4159.9839,N,8739.4287,W,36
260409_191322_300,69202.297,4159.9839,N,8739.4287,W,35
260409_191322_400,69202.398,4159.9839,N,8739.4287,W,36
260409_191322_500,69202.500,4159.9839,N,8739.4287,W,37
260409_191322_600,69202.602,4159.9839,N,8739.4287,W,35
260409_191322_700,69202.703,4159.9839,N,8739.4287,W,35
260409_191322_800,69202.797,4159.9839,N,8739.4287,W,36
260409_191322_900,69202.898,4159.9839,N,8739.4287,W,36
260409_191323_000,69203.000,4159.9839,N,8739.4287,W,35
260409_191323_100,69203.102,4159.9839,N,8739.4287,W,36
260409_191323_200,69203.203,4159.9839,N,8739.4287,W,35
