timecode,lat,lat_dir,lon,lon_dir,sensor
260324_015330_100,4159.9131,N,8739.6289,W,210
260324_015330_200,4159.9131,N,8739.6289,W,210
260324_015330_300,4159.9131,N,8739.6289,W,210
260324_015330_400,4159.9131,N,8739.6289,W,210
260324_015330_500,4159.9131,N,8739.6289,W,210
260324_015330_600,4159.9131,N,8739.6289,W,209
260324_015330_700,4159.9131,N,8739.6289,W,209
260324_015330_800,4159.9131,N,8739.6289,W,209
260324_015330_900,4159.9131,N,8739.6289,W,209
260324_015331_000,4159.9136,N,8739.6279,W,209
260324_015331_100,4159.9136,N,8739.6279,W,210
260324_015331_200,4159.9136,N,8739.6279,W,209
260324_015331_300,4159.9136,N,8739.6279,W,210
260324_015331_400,4159.9136,N,8739.6279,W,210
260324_015331_500,4159.9136,N,8739.6279,W,210
260324_015331_600,4159.9136,N,8739.6279,W,209
260324_015331_700,4159.9136,N,8739.6279,W,209
260324_015331_800,4159.9136,N,8739.6279,W,209
260324_015331_900,4159.9136,N,8739.6279,W,209
260324_015332_000,4159.9141,N,8739.6279,W,209
260324_015332_100,4159.9141,N,8739.6279,W,209
260324_015332_200,4159.9141,N,8739.6279,W,210
260324_015332_300,4159.9141,N,8739.6279,W,210
260324_015332_400,4159.9141,N,8739.6279,W,210
260324_015332_500,4159.9141,N,8739.6279,W,211
260324_015332_600,4159.9141,N,8739.6279,W,211
260324_015332_700,4159.9141,N,8739.6279,W,211
260324_015332_800,4159.9141,N,8739.6279,W,212
260324_015332_900,4159.9141,N,8739.6279,W,213
260324_015333_000,4159.9141,N,8739.6270,W,214
260324_015333_100,4159.9141,N,8739.6270,W,215
260324_015333_200,4159.9141,N,8739.6270,W,216
260324_015333_300,4159.9141,N,8739.6270,W,215
260324_015333_400,4159.9141,N,8739.6270,W,215
260324_015333_500,4159.9141,N,8739.6270,W,214
260324_015333_600,4159.9141,N,8739.6270,W,215
260324_015333_700,4159.9141,N,8739.6270,W,214
260324_015333_800,4159.9141,N,8739.6270,W,213
260324_015333_900,4159.9141,N,8739.6270,W,213
260324_015334_000,4159.9146,N,8739.6270,W,213
260324_015334_100,4159.9146,N,8739.6270,W,212
260324_015334_200,4159.9146,N,8739.6270,W,211
260324_015334_300,4159.9146,N,8739.6270,W,211
260324_015334_400,4159.9146,N,8739.6270,W,211
260324_015334_500,4159.9146,N,8739.6270,W,210
260324_015334_600,4159.9146,N,8739.6270,W,210
260324_015334_700,4159.9146,N,8739.6270,W,210
260324_015334_800,4159.9146,N,8739.6270,W,210
260324_015334_900,4159.9146,N,8739.6270,W,210
260324_015335_000,4159.9146,N,8739.6270,W,210
260324_015335_100,4159.9146,N,8739.6270,W,210
260324_015335_200,4159.9146,N,8739.6270,W,210
260324_015335_300,4159.9146,N,8739.6270,W,210
260324_015335_400,4159.9146,N,8739.6270,W,210
260324_015335_500,4159.9146,N,8739.6270,W,210
260324_015335_600,4159.9146,N,8739.6270,W,210
260324_015335_700,4159.9146,N,8739.6270,W,210
260324_015335_800,4159.9146,N,8739.6270,W,209
260324_015335_900,4159.9146,N,8739.6270,W,209
260324_015336_000,4159.9146,N,8739.6270,W,209
260324_015336_000,4159.9160,N,8739.6260,W,209
260324_015336_100,4159.9160,N,8739.6260,W,210
260324_015336_200,4159.9160,N,8739.6260,W,210
260324_015336_300,4159.9160,N,8739.6260,W,209
260324_015336_400,4159.9160,N,8739.6260,W,209
260324_015336_500,4159.9160,N,8739.6260,W,210
260324_015336_600,4159.9160,N,8739.6260,W,210
260324_015336_700,4159.9160,N,8739.6260,W,209
260324_015336_800,4159.9160,N,8739.6260,W,209
260324_015337_000,4159.9175,N,8739.6250,W,209
260324_015337_100,4159.9175,N,8739.6250,W,209
260324_015337_200,4159.9175,N,8739.6250,W,209
