2026-04-12
red,line,Howard,out
23:20:55.0,UTC
red,line,out,95
23:15:36.1,UTC
red,line,in,95
23:14:49.2,UTC
red,line,out,Howard
23:07:58.6,UTC
red,line,in,Howard
23:07:19.5,UTC
red,line,out,95
23:04:25.5,UTC
red,line,in,95
23:03:36.4,UTC
red,line,out,Howard
22:57:05.5,UTC
red,line,out,95
22:55:02.2,UTC
red,line,in,95
22:54:11.5,UTC
red,line,out,Howard
22:49:10.9,UTC
red,line,in,Howard
22:48:13.2,UTC
